City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,gaspe,48.8334,-64.4819,9.12,100,100,1.54,CA,1684981809
309,quellon,-43.1167,-73.6167,7.14,93,100,6.17,CL,1684981876
310,leiyang,26.4024,112.8591,27.21,75,69,3.62,CN,1684981952
311,tengrela,10.4869,-6.4097,24.05,75,98,1.75,CI,1684981952
312,nantucket,41.2835,-70.0995,13.06,98,100,2.06,US,1684981854
313,rio grande,-32.035,-52.0986,19.03,88,100,4.51,BR,1684981953
314,richards bay,-28.783,32.0377,18.17,85,4,5.8,ZA,1684981953
315,shingu,33.7333,135.9833,21.38,66,69,5.12,JP,1684981953
316,al 'amarah,31.8406,47.1396,32.94,26,100,5.89,IQ,1684981953
317,semera,11.501,41.201,26.6,64,3,5.24,ET,1684981954
318,ouani,-12.1322,44.4258,25.57,72,10,4.27,KM,1684981954
319,amga,60.8953,131.9608,11.77,42,85,2.42,RU,1684981954
320,uliastay,47.7417,96.8444,5.54,71,98,2.15,MN,1684981954
321,antsiranana,-12.2787,49.2917,22.09,90,8,1.89,MG,1684981955
322,tenno,39.9,139.9667,21.56,60,99,3.44,JP,1684981955
323,dakhla,23.6848,-15.958,18.28,87,99,6.87,EH,1684981955
324,kimbe,-5.5502,150.1429,25.04,94,100,1.76,PG,1684981955
325,farasan,16.7022,42.1183,31.06,68,1,1.44,SA,1684981955
326,virginia,37.5481,-77.4467,17.36,75,40,1.54,US,1684981804
327,zavoronezhskoye,52.8801,40.5526,15.71,95,99,2.2,RU,1684981956
328,vilyuchinsk,52.9306,158.4028,14.15,78,32,2.87,RU,1684981762
329,yeraliyev,43.2,51.65,23.6,45,68,3.57,KZ,1684981956
330,vavuniya,8.7514,80.4971,30.13,63,28,4.04,LK,1684981956
331,katsuura,35.1333,140.3,19.48,62,100,3.32,JP,1684981956
332,sukumo,32.9333,132.7333,22.59,52,39,3.39,JP,1684981956
333,kurtamysh,54.9103,64.4319,21.66,38,39,3.36,RU,1684981957
334,auki,-8.7676,160.7034,28.71,74,92,2.58,SB,1684981957
335,barra do bugres,-15.0725,-57.1811,21.79,65,100,1.26,BR,1684981957
336,dhidhdhoo,6.8833,73.1,29.0,73,4,3.75,MV,1684981958
337,shkurinskaya,46.5858,39.3599,16.95,91,98,1.35,RU,1684981958
338,akom ii,2.7833,10.5667,21.78,99,98,0.46,CM,1684981958
339,umba,66.6871,34.3429,9.89,75,93,2.66,RU,1684981958
340,tadine,-21.55,167.8833,22.64,54,95,6.25,NC,1684981958
341,benalla,-36.55,145.9833,11.28,39,100,5.19,AU,1684981959
342,howard springs,-12.497,131.047,29.34,28,13,2.16,AU,1684981959
343,lengshuitan,26.4111,111.5956,27.17,73,67,2.05,CN,1684981959
344,preobrazheniye,42.9019,133.9064,16.23,66,59,5.48,RU,1684981959
345,pirenopolis,-15.8525,-48.9592,20.27,70,11,2.47,BR,1684981959
346,popondetta,-8.7537,148.2534,23.34,99,100,1.32,PG,1684981959
347,tomaszow lubelski,50.4477,23.4162,11.73,90,30,1.96,PL,1684981960
348,cruzeiro do sul,-29.5128,-51.9853,19.73,86,21,2.14,BR,1684981960
349,dogonbadan,30.3586,50.7981,24.05,33,0,0.0,IR,1684981961
350,remire-montjoly,4.9167,-52.2667,25.02,94,75,1.03,GF,1684981961
351,severo-yeniseyskiy,60.3725,93.0408,4.41,53,58,3.47,RU,1684981961
352,livingston,55.9029,-3.5226,9.6,93,0,0.51,GB,1684981961
353,ocher,57.8904,54.7202,20.09,52,68,2.48,RU,1684981961
354,malpica,43.3228,-8.8105,15.19,73,92,6.02,ES,1684981961
355,cody,44.5263,-109.0565,17.12,66,20,4.12,US,1684981962
356,fortuna,40.5982,-124.1573,13.7,82,100,4.63,US,1684981797
357,lichtenburg,-26.152,26.1597,13.18,55,8,5.08,ZA,1684981962
358,sojat,25.9167,73.6667,30.38,53,32,9.19,IN,1684981962
359,zhangye,38.9342,100.4517,18.22,18,94,2.05,CN,1684981963
360,baikonur,45.6167,63.3167,21.97,31,0,6.64,KZ,1684981963
